Bullimus	Haplonectyris
47,963	81,382
(35,779 to 216,001)	(63,152 to 83,653)
69,310	128,884
(46,334 to 170,231)	(115,376 to 134,370)
5,071	397,530
(1,627 to 14,816)	(5,052 to 514,415)
3,809	48
(7 to 13,906)	(7 to 566,207)
6,332	905
(72 to 6,881,311)	(6 to 2,066)
32,921	48,085
(15,027 to 60,483)	(59,866 to 78,452)
99,690	78,933
(82,648 to 164,414)	(108,893 to 155,696)
0.05	2.20
(0.11 to 0.60)	(1.63 to 2.36)
0.03	1.39
(0.09 to 0.76)	(0.92 to 1.50)
0.20	0.00
(0.00 to 0.02)	(0.00 to 0.07)
0.14	0.00
(0.00 to 0.04)	(0.00 to 0.16)
